Order ID,Order Date,Ship Date,Customer Name,Segment,Region,State,Category,Sub-Category,Sales,Quantity,Discount,Profit
ORD-93810,2020-08-16,2020-08-17,Michael Perez,Home Office,East,Connecticut,Furniture,Tables,1872.63,9,0.04,107.58
ORD-38657,2021-04-21,2021-04-30,Joseph Anderson,Home Office,North,Illinois,Furniture,Furnishings,3749.26,10,0.14,898.7
ORD-30926,2023-11-30,2023-12-07,Michael Williams,Corporate,East,Connecticut,Furniture,Bookcases,2828.05,7,0.05,568.24
ORD-15695,2022-07-29,2022-08-07,Donna Lewis,Consumer,West,California,Technology,Accessories,1513.32,6,0.29,93.0
ORD-39871,2021-08-15,2021-08-17,Nancy Garcia,Consumer,North,Michigan,Office Supplies,Envelopes,1664.88,6,0.18,375.36
ORD-99593,2023-08-20,2023-08-22,William Anderson,Home Office,South,Virginia,Technology,Chairs,2822.35,7,0.13,626.68
ORD-38785,2023-11-03,2023-11-09,Sarah Williams,Consumer,South,Texas,Office Supplies,Envelopes,621.91,4,0.46,4.78
ORD-37869,2023-09-04,2023-09-12,Jessica White,Corporate,West,Washington,Office Supplies,Paper,2470.58,9,0.27,388.15
ORD-86484,2022-03-28,2022-04-03,Patricia Ramirez,Consumer,South,Virginia,Office Supplies,Binders,162.64,2,0.08,35.8
ORD-88172,2020-05-10,2020-05-17,James Perez,Corporate,West,Colorado,Office Supplies,Labels,360.52,2,0.34,-21.62
ORD-94012,2021-11-27,2021-11-29,Thomas Taylor,Corporate,West,Washington,Office Supplies,Binders,139.81,3,0.25,28.85
ORD-93748,2022-11-05,2022-11-15,Joshua Hernandez,Consumer,South,Georgia,Furniture,Chairs,3684.86,8,0.01,993.73
ORD-50306,2021-05-05,2021-05-06,John Harris,Consumer,North,New York,Technology,Machines,406.84,9,0.38,-11.68
ORD-82063,2020-12-04,2020-12-09,Karen Gonzalez,Home Office,West,Washington,Technology,Chairs,1233.69,6,0.22,99.0
ORD-39451,2020-05-11,2020-05-17,John Thompson,Consumer,South,Virginia,Furniture,Chairs,403.76,1,0.11,106.96
ORD-19287,2022-11-18,2022-11-22,Andrew Jackson,Corporate,West,Washington,Technology,Chairs,1701.99,8,0.12,258.3
ORD-22363,2020-07-17,2020-07-28,Patricia Perez,Corporate,East,Maryland,Office Supplies,Envelopes,711.63,2,0.03,178.01
ORD-24322,2021-05-24,2021-05-28,Sarah Anderson,Consumer,West,Washington,Office Supplies,Paper,105.15,4,0.44,2.23
ORD-82132,2020-07-19,2020-07-20,Anthony Thomas,Home Office,North,New York,Furniture,Tables,1470.35,8,0.11,95.07
ORD-59672,2020-01-05,2020-01-12,Ashley Jones,Corporate,West,Arizona,Office Supplies,Labels,1647.88,4,0.15,321.0
ORD-81066,2020-05-04,2020-05-16,Steven Robinson,Corporate,North,New York,Technology,Machines,3980.86,9,0.08,278.77
ORD-34356,2020-05-20,2020-05-30,Emily Martin,Consumer,South,North Carolina,Furniture,Tables,148.64,1,0.31,-1.85
ORD-78522,2021-10-09,2021-10-14,David Perez,Consumer,East,Connecticut,Office Supplies,Envelopes,1791.1,5,0.23,508.55
