Customer_ID,Customer_Name,Email,Country,Gender,Age,Booking_Date,Check_In,Check_Out,Num_Guests,Guest_Type,Meal_Type,Room_Type,Market_Segment,Deposit_Type,Customer_Type,Previous_Cancellations,Total_Nights,ADR,Total_Revenue,Lead_Time,Parking_Space,Special_Requests,Booking_Status,Rating,Review_Score,Loyalty_Points,Is_Repeated_Guest,Previous_Bookings_Not_Canceled,Agent_ID,Company_ID
CUST_0004,Colleen Wagner,serranocarrie@example.org,Germany,Female,71.0,2023-01-01,2023-01-02,2023-01-03,5.0,Couple,Full Board,l,Direct,Refundable,Transient,3,2.0,505.0,93,183,,,Pending,3,7.0,0.0,0,0.0,Unknown,C_105
CUST_0006,Daniel Lawrence,jamie48@example.org,USA,Male,70.0,2023-01-01,2023-01-02,2023-01-03,1.0,Group,Half Board,l,Groups,No Deposit,Group,1,23.5,300.0,625,440,1.0,4.0,Canceled,9,6.9082020640956,0.0,0,1.0,A_016,
CUST_0008,Gina Moore,markbrowning@example.com,France,Male,21.0,,2023-01-03,2023-01-04,1.0,Group,Bb,f,Complementary,No Deposit,Group,0,23.5,0.0,645,235,1.0,0.0,Confirmed,fair,6.9082020640956,0.0,0,0.0,A_015,C_104
CUST_0009,Gabrielle Davis,veronicaanderson@example.com,France,Female,55.0,,2023-01-03,2023-01-04,0.0,Children,Bed & Breakfast,d,Direct,No Deposit,Group,0,14.0,200.0,1117,77,,,Check-Out,,8.0,500.0,0,0.0,A_045,C_101
CUST_0010,Sarah Munoz,ypaul@example.org,France,Female,51.0,,2023-01-03,2023-01-04,3.0,Transient,Fb,F,Complementary,Refundable,Transient,10,2.0,50.0,869,115,1.0,2.0,Canceled,10,8.0,0.0,0,1.0,A_034,C_104
CUST_0011,Monica Herrera,monicacollins@example.net,United Kingdom,Female,48.0,2023-01-02,,2023-01-04,1.0,Couple,Undefined,G,Groups,Refundable,Transient,1,10.0,0.0,1000,38,0.0,3.0,No-Show,5,6.9082020640956,0.0,0,,A_034,C_101
CUST_0013,Shannon Ray,waynecohen@example.com,Argentina,Female,49.0,2023-01-02,2023-01-03,2023-01-04,5.0,Transient,Bed & Breakfast,F,Online Ta,Non Refund,Contract,0,0.0,150.0,665,193,1.0,0.0,Canceled,9,10.0,0.0,0,,A_049,
CUST_0014,Amber Perez,adrianthomas@example.org,Japan,Male,65.0,2023-01-02,2023-01-03,2023-01-04,3.0,Children,Sc,e,Offline Ta/To,Non Refundable,Transient,0,10.0,80.0,1199,387,,1.0,Pending,,1.5,100.0,0,3.0,A_016,
CUST_0015,Bobby Hall,pjacobs@example.net,France,Other,54.0,2023-01-03,2023-01-04,2023-01-05,0.0,Single,Fb,D,Online Ta,Non Refundable,Contract,0,7.0,505.0,825,382,1.0,3.0,Confirmed,7,1.5,100.0,0,1.0,A_007,C_101
CUST_0017,Jacqueline Clark,mclaughlinkeith@example.com,Australia,Female,19.0,2023-01-03,2023-01-04,2023-01-05,4.0,Children,Hb,E,Online Ta,No Deposit,Transient,0,10.0,0.0,1352,60,1.0,3.0,Check-Out,5,3.0,0.0,0,0.0,Unknown,C_105
CUST_0498,Laura Moreno,ustewart@example.org,Germany,Female,38.0,2023-03-14,2023-03-15,2023-03-16,0.0,Couple,Bb,a,Complementary,No Deposit,Transient,3,23.5,120.0,74,384,1.0,3.0,Canceled,excellent,6.9082020640956,50.0,1,1.0,A_023,C_101
CUST_0019,Christopher Daniel,robertwhite@example.net,United Kingdom,Other,35.0,2023-01-03,2023-01-04,2023-01-05,5.0,Children,Bed & Breakfast,F,Corporate,Non Refundable,Transient,2,10.0,200.0,1112,13,0.0,0.0,Confirmed,2,5.0,200.0,0,3.0,A_001,C_104
CUST_0020,Jamie Mayo,qellis@example.org,France,Other,59.0,2023-01-03,2023-01-04,2023-01-05,0.0,Family,Sc,c,Online Ta,No Deposit,Transient-Party,4,5.0,250.0,1260,427,2.0,0.0,Check-Out,9,3.0,200.0,1,1.0,A_050,C_101
CUST_0021,Justin Cohen,longsonya@example.org,France,Male,68.0,2023-01-03,2023-01-04,2023-01-05,4.0,Family,Undefined,c,Complementary,Refundable,Transient-Party,5,1.0,250.0,606,100,1.0,0.0,Pendingcxl,poor,8.0,200.0,0,3.0,A_010,C_101
CUST_0022,Ricardo Perez,joshuafuller@example.com,Japan,Male,45.0,2023-01-04,2023-01-05,2023-01-06,0.0,Transient,Hb,C,Offline Ta/To,Refundable,Transient,2,0.0,150.0,1091,339,,3.0,Canceled,fair,6.9082020640956,0.0,0,0.0,A_021,C_105
CUST_0023,Emily Adams,wolfejennifer@example.org,France,Female,67.0,2023-01-04,2023-01-05,2023-01-06,3.0,Transient,Bed & Breakfast,G,Corporate,No Deposit,Contract,0,0.0,120.0,566,254,,0.0,Confirmed,2,3.0,50.0,,0.0,A_002,C_101
CUST_0024,Terri Walter,wjenkins@example.net,United Kingdom,Female,72.0,2023-01-04,2023-01-05,2023-01-06,3.0,Children,Hb,F,Online Ta,No Deposit,Contract,4,23.5,50.0,1108,491,0.0,0.0,Confirmed,poor,5.0,50.0,0,0.0,A_040,C_104
CUST_0025,Matthew Foster,carneycharles@example.org,United Kingdom,Other,50.0,2023-01-04,2023-01-05,2023-01-06,0.0,Children,Half Board,g,Direct,Non Refundable,Contract,1,10.0,80.0,192,328,,2.0,Check-Out,4,6.0,500.0,,0.0,A_047,C_101
CUST_0027,Kristina Baker,murraycharles@example.net,USA,Male,30.0,2023-01-04,2023-01-05,2023-01-06,0.0,Adults,Sc,D,Corporate,Non Refund,Transient-Party,5,4.0,120.0,74,372,1.0,3.0,Check-Out,good,1.5,0.0,0,3.0,A_043,C_102
CUST_0028,Stephanie Ross,vjames@example.com,Portugal,Female,89.0,2023-01-04,2023-01-05,2023-01-06,5.0,Single,Fb,D,Online,No Deposit,Contract,10,4.0,505.0,1380,39,0.0,0.0,Check-Out,3,7.0,500.0,0,1.0,A_010,C_101
CUST_0029,Zachary Hicks,randysmith@example.org,Spain,Female,25.0,2023-01-05,2023-01-06,2023-01-07,0.0,Family,Hb,A,Online Ta,Non Refund,Contract,0,5.0,200.0,554,47,0.0,1.0,No-Show,fair,7.0,0.0,0,3.0,A_032,C_103
CUST_0030,Anthony Rodriguez,markgoodman@example.com,Argentina,Female,24.0,2023-01-05,2023-01-06,2023-01-07,1.0,Single,Sc,F,Direct,Refundable,Transient-Party,4,5.0,250.0,880,333,1.0,3.0,Check-Out,10,6.9082020640956,500.0,0,2.0,A_002,C_104
CUST_0031,Ricky Henderson,jjones@example.net,Australia,Female,60.0,2023-01-05,2023-01-06,2023-01-07,1.0,Transient,Fb,d,Aviation,Refundable,Transient-Party,0,1.0,120.0,268,497,0.0,0.0,Canceled,2,8.0,0.0,0,1.0,A_017,
CUST_0032,James Ferrell,jenniferkim@example.com,Canada,Male,48.0,2023-01-05,2023-01-06,2023-01-07,0.0,Family,Hb,C,Online Ta,Refundable,Group,0,1.0,120.0,101,436,,2.0,Canceled,3,6.9082020640956,500.0,0,0.0,A_001,C_105
