customer_id,Name,email,Country,Gender,Age,Booking_Date,Check_In,Check_Out,Num_Guests,Guest_Type,Meal_Type,Room_Type,Market_Segment,Deposit_Type,Customer_Type,Previous_Cancellations,Total_Nights,ADR,Total_Revenue,Lead_Time,Parking_Space,Special_Requests,Booking_Status,Rating,Review_Score,Loyalty_Points,Is_Repeated_Guest,Previous_Bookings_Not_Canceled,Agent_ID,Company_ID
CUST_0001,Alexander Hill,ybrown@example.org,UNITED KINGDOM,Female,200.0,2023-01-01,2023-01-02,2023-01-03,1.0,Group,sc,C,groups,no deposit,Group,0,2.0,,126,384,no,1,PendingCXL,8,5.0,500.0,0.0,3,A_018,C_104
CUST_0002,Nancy Rhodes,krodriguez@example.com,spain,Female,-5.0,2023-01-01,2023-01-02,2023-01-03,1.0,Single,fb,D,Direct,no deposit,transient,4,0.0,200.0,845,360,2,Multiple,check-out,10,10.0,200.0,0.0,1,,C_101
CUST_0003,Angie Henderson,christopher18@example.org,,Non-Binary,150.0,2023-01-01,2023-01-02,2023-01-03,3.0,Transient,,g,corporate,refundable,Contract,1,10.0,150.0,641,78,0,Multiple,PendingCXL,1,9.0,100.0,1.0,1,N/A,C_102
CUST_0004,Colleen Wagner,serranocarrie@example.org,DEU,Female,71.0,2023-01-01,2023-01-02,2023-01-03,5.0,Couple,Full Board,l,direct,refundable,Transient,3,2.0,10000.0,93,183,no,Multiple,Pending,3,7.0,,0.0,0,Unknown,C_105
CUST_0005,Cristian Santos,jamespruitt@example.com,Argentina,Male,41.0,2023-01-01,2023-01-02,2023-01-03,4.0,adults,,F,,non refundable,Group,4,300.0,-200.0,175,362,,3,Check-Out,3,,0.0,1.0,0,,C_102
CUST_0006,Daniel Lawrence,jamie48@example.org,united states,M,70.0,2023-01-01,2023-01-02,2023-01-03,1.0,group,Half Board,l,groups,no deposit,Group,1,999.0,300.0,625,440,Y,4,Canceled,9,,,0.0,1,A_016,
CUST_0007,Aaron Shaffer,hbrown@example.org,UNITED KINGDOM,,36.0,2023-01-01,2023-01-02,2023-01-03,0.0,couple,sc,g,ONLINE,No Deposit,Group,0,0.0,250.0,952,-100,Yes,3,Confirmed,fair,,,0.0,0,Unknown,C_102
CUST_0008,Gina Moore,markbrowning@example.com,france,Male,21.0,2023-13-01,2023-01-03,2023-01-04,1.0,Group,bb,f,complementary,No Deposit,group,0,300.0,0.0,645,235,1,0,Confirmed,fair,,,0.0,0,A_015,C_104
CUST_0009,Gabrielle Davis,veronicaanderson@example.com,France,F,55.0,2023-02-30,2023-01-03,2023-01-04,0.0,Children,,d,direct,No deposit,Group,0,14.0,200.0,1117,77,no,Multiple,Check-Out,,8.0,500.0,0.0,0,A_045,C_101
CUST_0010,Sarah Munoz,ypaul@example.org,France,Female,51.0,Not Recorded,2023-01-03,2023-01-04,3.0,transient,FB,F,complementary,Refundable,Transient,999,2.0,50.0,869,115,Yes,2,Canceled,10,8.0,,0.0,1,A_034,C_104
CUST_0011,Monica Herrera,monicacollins@example.net,UNITED KINGDOM,FEMALE,48.0,2023-01-02,not-available,2023-01-04,1.0,couple,Undefined,G,Groups,Refundable,transient,1,10.0,0.0,1000,38,N,3,No-Show,5,,,0.0,NA,A_034,C_101
CUST_0012,Mr. Juan Calderon,kmoore@example.com,Portuagal,F,75.0,2023-01-02,2023-01-03,N/A,3.0,children,bb,H,corporate,No deposit,transient,1,7.0,50.0,1277,422,NA,3,check-out,1,10.0,500.0,0.0,3,A_041,C_105
